Created_time,URL,Name,Category,Price,Address,Date,OlxDelivery,Is_promoted,Author_from_data,Views,Auth_rating,Photos_number,Description
2021-12-19 17:24:20.384430,https://www.olx.ua/d/obyavlenie/iphone-11-pro-max-256gb-gold-magazin-garantiya-rassrochka-IDJThdr.html#2827a068e5;promoted,iPhone 11 Pro Max 256gb Gold Магазин гарантия рассрочка,Телефоны и аксессуары » Мобильные телефоны / смартфоны,22779,"Киев, Голосеевский",2021-12-19 17:17:12.143992,False,True,март 2012 г.,48,Отлично,2,"#КУПИТЬАЙФОН
iPhone 11 Pro Max 256gb Gold 
Состояние отличное
Неверлок!

Посмотреть и поклацать можно в нашем магазине:
м Олимпийская, ул. Большая Васильковская 66, БЦ Троицкий, офис 226

В наличии огромный выбор других моделей, смотрите все наши обьявления, либо звоните будем рады ответить на все ваши вопросы.

На OLX с 2012 года, порядочность гарантирем

Мы в соцсетях:
https://www.facebook.com/groups/iphoneusa
https://www.instagram.com/apple_.buy/

Скидка на аксессуары при покупке телефона

Варианты покупки:
- Киев самовывоз м Олимпийская 
ул. Большая Васильковская 66, БЦ Троицкий, офис 226
- Новой почтой наложенным платежом"
2021-12-19 17:24:23.339806,https://www.olx.ua/d/obyavlenie/apple-iphone-11-pro-max-gold-256-gb-IDNoQor.html?sd=1#2827a068e5;promoted,Apple iPhone 11 Pro Max (gold) 256 GB,Телефоны и аксессуары » Мобильные телефоны / смартфоны,21900,"Киев, Деснянский",2021-12-19 17:14:20.384898,True,True,июнь 2017 г.,202,Отлично,8,"Apple iPhone 11 Pro Max (gold) 256 GB (2sim). Продаю свій телефон, в ідеальному стані. У користуванні був менше чим 2 роки. Завжди носила в чохлі та на екрані з склом. Додаткові фотографії можу скинути у особисті повідомлення при потребі. Продам лише в руки, не пересилаю."
2021-12-19 17:24:27.288977,https://www.olx.ua/d/obyavlenie/zahisne-sklo-iphone-11-IDJDG13.html?sd=1#2827a068e5,Захисне скло Iphone 11,Телефоны и аксессуары » Аксессуары для телефонов,50,"Львов, Шевченковский",2021-12-19 17:14:23.340772,True,False,декабрь 2016 г.,199,нет ни одного отзыва,2,"Захисне скло Iphone 11/ Захист на камеру

Якісне захисне скло на Iphone 11 - прозоре/ з чорною рамкою. Заокруглені краї. Також є хзахист - на камеру."
2021-12-19 17:24:30.072343,https://www.olx.ua/d/obyavlenie/zahisne-sklo-ta-chohli-dlya-iphone-6-7-8-xs-xr-11-IDKEbMs.html?sd=1#2827a068e5,Захисне скло та чохли для Iphone 6 7 8+ xs xr 11,Телефоны и аксессуары » Аксессуары для телефонов,89,"Львов, Галицкий",2021-12-19 17:09:27.289696,True,False,март 2015 г.,111,нет ни одного отзыва,2,"Захисне скло для лінійки apple 
Чохли
Зарядні пристрої"
2021-12-19 17:24:35.264820,https://www.olx.ua/d/obyavlenie/topovoe-steklo-flolab-na-iphone-11-xr-IDNnbUS.html?sd=1#2827a068e5;promoted,Топовое стекло Flolab на iphone 11  XR,Телефоны и аксессуары » Аксессуары для телефонов,890,"Киев, Голосеевский",2021-12-19 17:01:30.072879,True,True,октябрь 2017 г.,130,нет ни одного отзыва,8,"Одно из лучших защитных стекол на iphone что существуют на мировом рынке от американской фирмы Flolab. Великолепная устойчивость к появлению царапин, лучшее олеофобное покрытие, сравнимое с сапфировыми стеклами,  прочное на разбитие, антимикробное покрытие. В Украине сравнимых по качеству стекол просто нет."
2021-12-19 17:24:42.459047,https://www.olx.ua/d/obyavlenie/iphone-11-64gb-purple-IDNFOPD.html?sd=1#2827a068e5,Iphone 11 64gb purple,Телефоны и аксессуары » Мобильные телефоны / смартфоны,14000,Чернигов,2021-12-19 16:58:35.265253,True,False,март 2020 г.,10,Отлично,4,"Продам IPhone 11 64gb purple, neverlock, первый владелец, покупал новым, родная коробка, шнур, блок питания неоригинал, не битый, не тонул, в ремонте не был, состояние - пара царапин на экране."
2021-12-19 17:24:45.320000,https://www.olx.ua/d/obyavlenie/chehol-dlya-iphone-11-IDNnXW3.html?sd=1#2827a068e5,Чехол для iPhone 11,Телефоны и аксессуары » Аксессуары для телефонов,200,"Киев, Подольский",2021-12-19 16:57:42.459465,True,False,январь 2016 г.,23,нет ни одного отзыва,2,"Мягкий силиконовый вариант для повседневного ношения. В нижней части чехол
имеет крепление для шнурка, который можно удобно приспособить к ношению вашего
Айфона, перекинув через плечо или закрепив на элементе одежды.

Крепление выполнено несъёмным и будет надежно удерживать, как шнурок, так и
смартфон. Представляет собой два литых вместе с чехлом ушка, через которые и
протягивается нейлоновый шнурок. Чехол изготовлен из силикона, а это означает,
что он устойчив к воздействию агрессивных сред и защитит поверхность смартфона
от царапин, потертостей и легких ударов.

Все функциональные отверстия и вырезы выполнены на достойном уровне и не
мешают штатной работе смартфона."
2021-12-19 17:24:48.184111,https://www.olx.ua/d/obyavlenie/prodam-zahisne-sklo-na-iphone-11-IDMZGTV.html?sd=1#2827a068e5,Продам захисне скло на iphone 11,Телефоны и аксессуары » Аксессуары для телефонов,99,Полтава,2021-12-19 16:55:45.320520,True,False,июнь 2014 г.,29,нет ни одного отзыва,1,Продам захисне 3D скло на iphone 11 за детальною інформацією звертайтесь за телефоном
2021-12-19 17:24:50.904051,https://www.olx.ua/d/obyavlenie/chehol-dlya-iphone-11-pro-max-IDNmKcH.html?sd=1#2827a068e5,Чехол для iPhone 11 Pro MAX,Телефоны и аксессуары » Аксессуары для телефонов,140,Чубинское,2021-12-19 16:55:48.184585,True,False,декабрь 2016 г.,33,Отлично,5,"Чехол на iPhone 11 Pro MAX

Новый, продаю за ненадобностью
Цена указана за 1 шт.
В наличии 2 шт.

ОЛХ доставка или отправка по предоплате

Если не отвечаю на звонок, пожалуйста пишите в олх"
2021-12-19 17:24:58.825696,https://www.olx.ua/d/obyavlenie/chehol-na-iphone-11-IDNmdgl.html?sd=1#2827a068e5,Чехол на Iphone 11,Телефоны и аксессуары » Аксессуары для телефонов,150,"Кропивницкий, Фортечный",2021-12-19 16:55:50.904526,True,False,ноябрь 2020 г.,46,Отлично,1,"В идеальном состоянии чехлы
При покупке двух скидка"
